acquisition_channel,cancel_year_month,duration_month,fiber_or_adsl,has_retention,offer,recruit_year_month,sub_offer,total_bill,churned,recruit_date,cancel_date,tenure_months,tenure_bin,monthly_revenue_rate
outgoing call - promo,2016-10,9.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,130,1,2016-01-01,2016-10-01,9.0,9,14.444444444444445
online,2016-01,0.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,0,1,2016-01-01,2016-01-01,0.0,0,
phone,2016-08,7.0,fiber,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,880,1,2016-01-01,2016-08-01,7.0,7,125.71428571428571
online,2021-05,52.0,fiber,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2180,1,2017-01-01,2021-05-01,52.0,48,41.92307692307692
outgoing call - promo,2018-11,22.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1530,1,2017-01-01,2018-11-01,22.0,22,69.54545454545455
outgoing call - promo,2019-03,26.0,adsl,False,#8:Freebox Revolution 2999eur,2017-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,860,1,2017-01-01,2019-03-01,26.0,24,33.07692307692308
online,,,fiber,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,2940,0,2016-01-01,,72.40473061760841,72,40.60508166969147
phone,2017-03,14.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,670,1,2016-01-01,2017-03-01,14.0,14,47.857142857142854
phone,2018-05,16.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1400,1,2017-01-01,2018-05-01,16.0,16,87.5
pos,2017-07,18.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,1140,1,2016-01-01,2017-07-01,18.0,18,63.333333333333336
outgoing call - promo,2020-08,43.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1470,1,2017-01-01,2020-08-01,43.0,42,34.18604651162791
pos,2019-04,39.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,1610,1,2016-01-01,2019-04-01,39.0,36,41.282051282051285
outgoing call - promo,,,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,2450,0,2016-01-01,,72.40473061760841,72,33.83756805807623
phone,2018-01,12.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,600,1,2017-01-01,2018-01-01,12.0,12,50.0
outgoing call - promo,2018-07,18.0,fiber,False,#8:Freebox Revolution 2999eur,2017-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,360,1,2017-01-01,2018-07-01,18.0,18,20.0
online,2020-02,37.0,fiber,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2230,1,2017-01-01,2020-02-01,37.0,36,60.270270270270274
phone,2018-10,21.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,970,1,2017-01-01,2018-10-01,21.0,21,46.19047619047619
online,2021-09,68.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,2620,1,2016-01-01,2021-09-01,68.0,66,38.529411764705884
outgoing call - promo,,,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2320,0,2017-01-01,,60.381077529566355,60,38.42263329706203
online,2018-02,13.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,640,1,2017-01-01,2018-02-01,13.0,13,49.23076923076923
online,2016-05,4.0,fiber,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,40,1,2016-01-01,2016-05-01,4.0,4,10.0
phone,2020-02,49.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,3380,1,2016-01-01,2020-02-01,49.0,48,68.9795918367347
outgoing call - promo,2018-10,33.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,1540,1,2016-01-01,2018-10-01,33.0,33,46.666666666666664
online,2017-11,10.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,630,1,2017-01-01,2017-11-01,10.0,10,63.0
online,2017-01,0.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,0,1,2017-01-01,2017-01-01,0.0,0,
online,,,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,2890,0,2016-01-01,,72.40473061760841,72,39.91451905626134
outgoing call - promo,2017-06,17.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,320,1,2016-01-01,2017-06-01,17.0,17,18.823529411764707
phone,2018-10,21.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,970,1,2017-01-01,2018-10-01,21.0,21,46.19047619047619
outgoing call - promo,,,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,2910,0,2016-01-01,,72.40473061760841,72,40.19074410163339
online,2019-05,40.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,2250,1,2016-01-01,2019-05-01,40.0,36,56.25
online,,,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,2920,0,2016-01-01,,72.40473061760841,72,40.32885662431942
online,2019-01,36.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,1850,1,2016-01-01,2019-01-01,36.0,36,51.388888888888886
pos,,,fiber,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2410,0,2017-01-01,,60.381077529566355,60,39.91316648531012
pos,2021-03,50.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2100,1,2017-01-01,2021-03-01,50.0,48,42.0
phone,2017-10,21.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,1060,1,2016-01-01,2017-10-01,21.0,21,50.476190476190474
outgoing call - promo,2018-07,30.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,860,1,2016-01-01,2018-07-01,30.0,30,28.666666666666668
online,2019-05,28.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1270,1,2017-01-01,2019-05-01,28.0,27,45.357142857142854
pos,2021-05,64.0,fiber,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,4570,1,2016-01-01,2021-05-01,64.0,60,71.40625
pos,,,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2640,0,2017-01-01,,60.381077529566355,60,43.72230685527748
outgoing call - promo,2016-09,8.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,320,1,2016-01-01,2016-09-01,8.0,8,40.0
online,,,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,2620,0,2016-01-01,,72.40473061760841,72,36.18548094373866
online,2016-11,10.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,630,1,2016-01-01,2016-11-01,10.0,10,63.0
phone,,,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,2870,0,2016-01-01,,72.40473061760841,72,39.6382940108893
online,2016-09,8.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,300,1,2016-01-01,2016-09-01,8.0,8,37.5
online,2020-10,57.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,2280,1,2016-01-01,2020-10-01,57.0,54,40.0
online,2018-10,33.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,1250,1,2016-01-01,2018-10-01,33.0,33,37.878787878787875
online,,,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2780,0,2017-01-01,,60.381077529566355,60,46.04091403699674
phone,2019-10,33.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1480,1,2017-01-01,2019-10-01,33.0,33,44.84848484848485
outgoing call - promo,,,adsl,True,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1780,0,2017-01-01,,60.381077529566355,60,29.47943416757345
outgoing call - promo,2018-04,15.0,adsl,False,#8:Freebox Revolution 2999eur,2017-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,420,1,2017-01-01,2018-04-01,15.0,15,28.0
online,2019-02,37.0,fiber,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,2460,1,2016-01-01,2019-02-01,37.0,36,66.48648648648648
phone,,,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,3340,0,2016-01-01,,72.40473061760841,72,46.12958257713249
phone,2016-10,9.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,160,1,2016-01-01,2016-10-01,9.0,9,17.77777777777778
outgoing call - promo,2017-03,2.0,fiber,False,#8:Freebox Revolution 2999eur,2017-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,60,1,2017-01-01,2017-03-01,2.0,2,30.0
pos,2021-01,60.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,0,1,2016-01-01,2021-01-01,60.0,60,0.0
online,,,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2400,0,2017-01-01,,60.381077529566355,60,39.74755168661589
phone,,,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2450,0,2017-01-01,,60.381077529566355,60,40.57562568008706
online,2021-04,51.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2690,1,2017-01-01,2021-04-01,51.0,48,52.745098039215684
outgoing call - promo,2017-08,7.0,adsl,False,#8:Freebox Revolution 2999eur,2017-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,60,1,2017-01-01,2017-08-01,7.0,7,8.571428571428571
online,,,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2420,0,2017-01-01,,60.381077529566355,60,40.07878128400436
outgoing call - promo,2018-02,13.0,adsl,False,#8:Freebox Revolution 2999eur,2017-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,250,1,2017-01-01,2018-02-01,13.0,13,19.23076923076923
online,2019-09,44.0,fiber,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,1860,1,2016-01-01,2019-09-01,44.0,42,42.27272727272727
phone,2019-08,31.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1360,1,2017-01-01,2019-08-01,31.0,30,43.87096774193548
online,2017-08,7.0,fiber,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,260,1,2017-01-01,2017-08-01,7.0,7,37.142857142857146
outgoing call - promo,2021-01,48.0,adsl,False,#8:Freebox Revolution 2999eur,2017-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,0,1,2017-01-01,2021-01-01,48.0,48,0.0
online,,,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2690,0,2017-01-01,,60.381077529566355,60,44.550380848748645
phone,2019-11,34.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1640,1,2017-01-01,2019-11-01,34.0,33,48.23529411764706
pos,2020-03,50.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,2050,1,2016-01-01,2020-03-01,50.0,48,41.0
phone,2016-05,4.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,140,1,2016-01-01,2016-05-01,4.0,4,35.0
phone,,,fiber,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2530,0,2017-01-01,,60.381077529566355,60,41.900544069640915
online,2017-09,20.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,850,1,2016-01-01,2017-09-01,20.0,20,42.5
phone,2018-02,13.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,810,1,2017-01-01,2018-02-01,13.0,13,62.30769230769231
online,,,fiber,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,3100,0,2016-01-01,,72.40473061760841,72,42.814882032667875
outgoing call - promo,,,adsl,False,#8:Freebox Revolution 2999eur,2017-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,1940,0,2017-01-01,,60.381077529566355,60,32.12927094668118
phone,2019-12,35.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1480,1,2017-01-01,2019-12-01,35.0,33,42.285714285714285
outgoing call - promo,2018-06,17.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,350,1,2017-01-01,2018-06-01,17.0,17,20.58823529411765
phone,2021-12,59.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2420,1,2017-01-01,2021-12-01,59.0,54,41.016949152542374
outgoing call - promo,2017-07,18.0,fiber,False,#8:Freebox Revolution 2999eur,2016-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,410,1,2016-01-01,2017-07-01,18.0,18,22.77777777777778
outgoing call - promo,,,adsl,False,#8:Freebox Revolution 2999eur,2017-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,2250,0,2017-01-01,,60.381077529566355,60,37.2633297062024
online,2017-05,4.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,60,1,2017-01-01,2017-05-01,4.0,4,15.0
phone,2016-11,10.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,730,1,2016-01-01,2016-11-01,10.0,10,73.0
phone,2020-06,53.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,2350,1,2016-01-01,2020-06-01,53.0,48,44.339622641509436
online,2018-10,33.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,1400,1,2016-01-01,2018-10-01,33.0,33,42.42424242424242
phone,2016-02,1.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,110,1,2016-01-01,2016-02-01,1.0,1,110.0
outgoing call - promo,2018-08,31.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,790,1,2016-01-01,2018-08-01,31.0,30,25.483870967741936
phone,2016-01,0.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,0,1,2016-01-01,2016-01-01,0.0,0,
phone,,,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,3000,0,2016-01-01,,72.40473061760841,72,41.433756805807626
phone,,,fiber,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2630,0,2017-01-01,,60.381077529566355,60,43.556692056583245
phone,,,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2580,0,2017-01-01,,60.381077529566355,60,42.72861806311208
outgoing call - promo,2021-09,68.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,2400,1,2016-01-01,2021-09-01,68.0,66,35.294117647058826
phone,2017-04,3.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,110,1,2017-01-01,2017-04-01,3.0,3,36.666666666666664
online,,,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2570,0,2017-01-01,,60.381077529566355,60,42.56300326441785
pos,2017-07,6.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,350,1,2017-01-01,2017-07-01,6.0,6,58.333333333333336
phone,2017-03,14.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,730,1,2016-01-01,2017-03-01,14.0,14,52.142857142857146
online,2019-03,26.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1340,1,2017-01-01,2019-03-01,26.0,24,51.53846153846154
phone,,,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,3270,0,2016-01-01,,72.40473061760841,72,45.16279491833031
outgoing call - promo,2020-03,38.0,adsl,False,#8:Freebox Revolution 2999eur,2017-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,1200,1,2017-01-01,2020-03-01,38.0,36,31.57894736842105
pos,2017-01,0.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,0,1,2017-01-01,2017-01-01,0.0,0,
pos,,,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2390,0,2017-01-01,,60.381077529566355,60,39.58193688792166
outgoing call - promo,2016-01,0.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,0,1,2016-01-01,2016-01-01,0.0,0,
outgoing call - promo,2018-02,13.0,adsl,False,#8:Freebox Revolution 2999eur,2017-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,320,1,2017-01-01,2018-02-01,13.0,13,24.615384615384617
outgoing call - promo,2018-04,15.0,adsl,False,#8:Freebox Revolution 2999eur,2017-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,270,1,2017-01-01,2018-04-01,15.0,15,18.0
outgoing call - promo,2018-11,22.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,610,1,2017-01-01,2018-11-01,22.0,22,27.727272727272727
phone,2017-01,12.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,540,1,2016-01-01,2017-01-01,12.0,12,45.0
outgoing call - promo,2018-04,15.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,300,1,2017-01-01,2018-04-01,15.0,15,20.0
outgoing call - promo,2019-08,31.0,fiber,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,820,1,2017-01-01,2019-08-01,31.0,30,26.451612903225808
phone,2019-01,36.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,1570,1,2016-01-01,2019-01-01,36.0,36,43.611111111111114
phone,2017-10,21.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,900,1,2016-01-01,2017-10-01,21.0,21,42.857142857142854
online,2019-09,32.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1170,1,2017-01-01,2019-09-01,32.0,30,36.5625
pos,,,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2440,0,2017-01-01,,60.381077529566355,60,40.41001088139282
online,,,fiber,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2480,0,2017-01-01,,60.381077529566355,60,41.07247007616975
phone,2016-02,1.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,0,1,2016-01-01,2016-02-01,1.0,1,0.0
outgoing call - promo,,,fiber,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2160,0,2017-01-01,,60.381077529566355,60,35.772796517954305
outgoing call - promo,2017-07,18.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,400,1,2016-01-01,2017-07-01,18.0,18,22.22222222222222
online,2019-05,28.0,fiber,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,980,1,2017-01-01,2019-05-01,28.0,27,35.0
phone,2017-06,17.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,1000,1,2016-01-01,2017-06-01,17.0,17,58.8235294117647
online,2018-08,31.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,1280,1,2016-01-01,2018-08-01,31.0,30,41.29032258064516
online,,,fiber,True,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,3350,0,2016-01-01,,72.40473061760841,72,46.26769509981851
outgoing call - promo,2020-01,36.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,920,1,2017-01-01,2020-01-01,36.0,36,25.555555555555557
online,2018-11,22.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,940,1,2017-01-01,2018-11-01,22.0,22,42.72727272727273
phone,,,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2440,0,2017-01-01,,60.381077529566355,60,40.41001088139282
outgoing call - promo,,,fiber,False,#8:Freebox Revolution 2999eur,2017-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,2000,0,2017-01-01,,60.381077529566355,60,33.122959738846575
online,,,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2380,0,2017-01-01,,60.381077529566355,60,39.41632208922742
outgoing call - promo,,,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,3420,0,2017-01-01,,60.381077529566355,60,56.640261153427645
online,,,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,3590,0,2016-01-01,,72.40473061760841,72,49.582395644283125
phone,,,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,3140,0,2017-01-01,,60.381077529566355,60,52.00304678998912
phone,2021-04,63.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,2780,1,2016-01-01,2021-04-01,63.0,60,44.12698412698413
phone,2017-08,19.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,1080,1,2016-01-01,2017-08-01,19.0,19,56.8421052631579
phone,,,fiber,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,5380,0,2016-01-01,,72.40473061760841,72,74.30453720508167
pos,2020-06,53.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,2450,1,2016-01-01,2020-06-01,53.0,48,46.22641509433962
online,,,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,2750,0,2016-01-01,,72.40473061760841,72,37.98094373865699
outgoing call - promo,2019-10,45.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,1440,1,2016-01-01,2019-10-01,45.0,42,32.0
outgoing call - promo,2018-05,16.0,fiber,False,#8:Freebox Revolution 2999eur,2017-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,260,1,2017-01-01,2018-05-01,16.0,16,16.25
phone,2018-10,33.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,2080,1,2016-01-01,2018-10-01,33.0,33,63.03030303030303
online,2018-05,28.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,1420,1,2016-01-01,2018-05-01,28.0,27,50.714285714285715
phone,,,fiber,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,2800,0,2016-01-01,,72.40473061760841,72,38.671506352087114
online,2018-06,29.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,1730,1,2016-01-01,2018-06-01,29.0,27,59.6551724137931
online,2016-11,10.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,400,1,2016-01-01,2016-11-01,10.0,10,40.0
online,2019-07,42.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,2570,1,2016-01-01,2019-07-01,42.0,42,61.19047619047619
phone,2019-08,31.0,fiber,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2370,1,2017-01-01,2019-08-01,31.0,30,76.45161290322581
phone,2018-10,33.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,1400,1,2016-01-01,2018-10-01,33.0,33,42.42424242424242
phone,2021-10,69.0,fiber,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,2670,1,2016-01-01,2021-10-01,69.0,66,38.69565217391305
online,2017-03,2.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,0,1,2017-01-01,2017-03-01,2.0,2,0.0
online,2019-06,41.0,adsl,False,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,1660,1,2016-01-01,2019-06-01,41.0,36,40.48780487804878
outgoing call - promo,2018-07,18.0,fiber,False,#8:Freebox Revolution 2999eur,2017-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,490,1,2017-01-01,2018-07-01,18.0,18,27.22222222222222
phone,,,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2660,0,2017-01-01,,60.381077529566355,60,44.053536452665945
outgoing call - promo,2020-06,41.0,adsl,False,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1350,1,2017-01-01,2020-06-01,41.0,36,32.926829268292686
